,1,2,3,4,5,6,7,8,9
tantrum,3,0,2,0,0,0,0,0,0
striong,0,0,0,0,0,0,0,0,0
race!,0,0,0,0,0,0,0,0,0
bowel,0,0,0,0,0,0,0,0,0
rubble,0,0,0,0,0,0,0,0,0
should,0,2,0,0,0,0,0,0,0
gonna,0,0,0,0,0,0,0,0,0
sonar,0,0,0,0,0,0,0,0,0
mariokart,0,0,0,0,0,0,0,0,0
totalitariansim,0,0,0,0,0,0,0,0,0
crick,0,0,0,2,0,0,0,0,0
howdy,0,0,0,0,0,0,0,0,0
hippopotamus,0,0,0,0,0,0,0,0,0
lancashire,0,0,0,0,0,0,0,0,0
joy,0,0,0,0,0,0,0,0,0
men,4,4,3,2,2,1,2,1,3
erebus,0,0,0,0,0,0,0,0,0
surf,0,0,0,0,0,0,0,0,0
siesta,0,0,2,0,0,1,0,0,0
raw,3,0,2,2,0,0,0,0,2
trolls,0,0,0,0,0,0,0,0,0
frazzled,1,0,1,0,0,0,2,0,1
wellington,0,0,0,0,0,0,0,0,0
golden,0,0,0,1,0,0,0,0,0
rac,0,0,0,0,0,0,0,0,0
omelet,0,0,1,0,1,2,0,0,0
thoughtfu,0,0,1,0,1,0,0,0,0
spacious,0,0,0,0,0,0,0,0,0
cryptic,2,1,0,0,0,0,0,0,0
embarrased,0,0,0,0,0,0,0,1,0
paper towel,1,0,0,0,0,0,0,0,0
cruiseship,0,0,0,0,0,0,0,0,0
by,0,0,0,0,0,0,0,0,0
beholder,0,0,0,0,0,0,0,0,0
commander,0,0,0,0,0,0,0,0,0
loathing,3,1,1,2,1,0,0,1,2
cqan,0,0,0,0,0,0,0,0,0
oyster,0,0,0,0,0,0,0,0,0
agent,0,2,2,0,1,0,0,2,0
outlier,0,1,0,0,0,0,0,0,0
dogcatbird,0,0,0,0,0,0,0,0,0
cockatiel,0,0,0,0,0,0,0,0,0
cone,0,0,0,0,0,0,0,0,0
stuntman,0,0,0,0,0,0,0,0,0
zapdos,0,0,0,0,0,0,0,0,0
frisby,0,0,0,0,0,0,0,0,0
handicap,0,0,0,0,0,0,0,0,0
wraith,1,0,1,2,1,0,0,2,1
foundation,0,2,0,0,1,0,0,0,0
magnet,0,0,0,0,0,0,0,0,0
queenvictoria,0,0,0,0,0,0,0,0,0
plantation,0,0,0,0,0,0,0,0,0
fascinating,0,0,0,0,0,0,0,0,0
edam,0,0,0,0,0,0,0,0,0
ugly,1,2,0,1,0,0,0,1,0
warranty,0,0,0,0,0,0,0,0,0
rethink,0,0,0,0,0,0,1,0,0
methotrexate,0,0,0,0,0,0,0,0,0
welting,0,0,0,0,0,0,0,0,0
pediatrician,0,0,0,0,0,0,0,0,0
fast-food,0,0,0,0,0,0,0,0,0
john,0,0,0,0,0,0,0,0,0
clenched,1,0,0,0,0,0,3,0,0
yuriy,0,0,0,0,0,0,0,0,0
fumigate,0,0,0,0,0,0,0,0,0
027,0,0,0,0,0,0,0,0,0
kicj,0,0,0,0,0,0,0,0,0
menstruation,0,0,0,0,0,0,0,0,0
oral,0,1,1,1,0,0,0,1,0
rabies,0,0,0,0,0,0,0,0,0
zombieland,0,0,0,0,0,0,0,0,0
rover,0,0,0,0,0,0,0,0,0
jfk,0,0,0,0,0,0,0,0,0
blackfriday,0,0,0,0,0,0,0,0,0
meditation,0,0,0,0,1,1,0,0,0
cephalopod,0,0,0,0,0,0,0,0,0
utilities,0,0,0,0,0,0,0,0,0
compose,0,0,0,0,2,2,0,0,0
commune,0,1,0,1,0,0,0,0,0
resignation,1,0,0,1,1,0,0,0,0
overtime,0,0,0,0,0,0,0,0,0
fangs,0,0,0,0,0,0,0,0,0
acab,0,0,0,0,0,0,0,0,0
gulit,0,0,0,0,0,0,0,0,0
expense,0,0,0,0,0,0,0,0,0
christmas tree,0,0,0,0,0,0,0,0,0
epidemic,0,0,0,0,0,0,0,0,0
stuffy,0,0,0,0,0,0,0,0,0
arsenal,0,0,0,0,0,0,0,0,0
humididty,0,0,0,0,0,0,0,0,0
miles,2,3,0,2,0,0,1,0,0
76ers,0,0,0,0,0,0,0,0,0
sprint,0,0,0,0,0,0,0,0,0
dape,0,0,0,0,0,0,0,0,0
application,0,0,0,0,0,0,0,0,0
odd,1,0,0,1,1,0,0,0,0
yapper,1,0,0,1,0,0,0,1,0
comida,0,2,1,1,1,1,0,0,0
obligate,0,0,0,0,0,0,0,0,0
digit,1,3,1,0,0,0,0,0,0
cheeseplant,0,0,0,0,0,0,0,0,0
canadian,0,0,0,0,0,0,0,0,0
ohbob,0,0,0,0,0,0,0,0,0
pear,0,0,0,0,0,0,0,0,0
berm,0,0,0,0,0,0,0,0,0
jersy,0,0,0,0,0,0,0,0,0
constellations,0,0,0,0,0,0,0,0,0
chatter,3,3,0,2,0,0,2,2,0
dressed,0,2,0,2,0,2,0,1,0
misfit,0,0,0,0,0,0,0,0,0
barbed,2,1,0,1,0,0,0,0,0
luminous,0,1,0,1,0,0,1,1,0
persimmon,0,0,0,1,0,0,2,0,0
sob,3,0,2,3,2,2,1,4,2
argula,0,0,0,0,0,0,0,0,0
dino,0,0,0,0,0,0,0,0,0
show,0,0,0,0,0,0,0,0,0
thermal,0,1,0,0,0,0,1,0,0
laze,1,0,1,2,0,0,0,0,0
recluse,2,0,0,0,1,0,1,0,0
accustomed,1,2,0,0,2,0,0,0,0
becomes,0,0,0,0,0,0,0,0,0
adjustment,0,0,0,0,2,1,0,2,0
xylem,0,1,0,1,0,0,0,0,0
torture,0,3,0,2,0,0,0,2,0
timekeeping,0,1,0,0,1,0,0,0,0
torse,0,2,0,2,3,0,0,3,0
pinecones,0,1,0,1,0,0,1,0,0
rut,0,1,0,1,0,0,0,0,0
goint,0,0,0,0,0,0,0,0,0
stringpaintscissors,0,0,0,0,0,0,0,0,0
classrooms,0,2,0,0,0,1,0,0,0
be,0,0,0,0,0,0,0,0,0
baywatch,0,0,0,0,0,0,0,0,0
scrunchie,0,0,0,0,0,2,0,0,0
jokers,0,3,0,0,0,0,0,0,0
elephantear,0,0,0,0,0,0,0,0,0
neptune,0,0,0,0,0,0,0,0,0
dooe,0,0,0,0,0,0,0,0,0
appartment,3,0,3,0,2,0,0,0,3
constitute,0,0,0,0,0,0,0,0,0
puzle,0,0,0,0,1,0,0,0,0
paramour,0,0,2,0,0,0,0,0,2
feedlot,0,0,0,0,0,0,1,0,0
universities,0,0,0,0,0,0,0,0,0
glandular,0,0,0,0,2,0,0,0,0
expelling,2,0,0,0,0,0,0,0,0
authority,2,3,0,0,0,0,0,2,0
unalive,3,3,0,3,2,0,0,3,0
persevere,0,1,0,0,1,0,0,0,0
slang,0,0,0,0,0,0,0,0,0
meth,0,0,0,0,0,0,0,0,0
nationality,0,0,0,0,0,0,0,0,0
feline,0,0,0,0,0,0,0,0,0
drills,0,0,0,0,0,0,0,0,0
cattails,0,1,0,1,0,0,1,0,0
snes,0,0,0,0,0,0,0,0,0
apps,0,0,0,0,0,0,0,0,0
mylar,0,0,0,0,0,0,0,0,0
electrocuted,0,0,0,0,0,0,0,0,0
mentalillness,0,0,0,2,0,0,0,0,0
fitbit,0,0,0,0,0,0,0,0,0
cd-i,0,0,0,0,0,0,0,0,0
gian,0,0,0,0,0,0,0,0,0
wr,0,0,0,0,0,0,0,0,0
operated,0,0,0,0,3,0,0,0,0
von,0,0,0,0,0,0,0,0,0
sighing,0,0,0,0,0,0,0,0,0
passions,0,0,3,0,0,0,0,0,3
videogames,0,0,0,0,0,0,0,0,0
warsaw,0,0,0,0,0,0,0,0,0
ghana,0,0,0,0,0,0,0,0,0
shared,3,3,0,0,0,0,0,0,0
kindeys,0,0,0,0,2,0,0,0,0
sundress,0,0,0,1,0,0,0,0,0
learned,0,0,0,0,1,0,0,0,0
castillon,0,0,0,0,0,0,0,0,0
yelled,1,0,3,1,0,0,0,0,0
maturity,0,0,0,0,0,0,0,0,0
vexing,2,0,2,2,0,0,0,0,1
wether,0,0,0,0,0,0,0,0,0
sk,0,0,0,0,0,0,0,0,0
lopping,0,0,0,3,0,0,0,0,0
seafood,0,3,0,2,0,0,0,0,0
messageboards,0,0,0,0,0,0,0,0,0
november,0,0,0,0,0,0,0,0,0
monstera,0,0,0,0,0,0,0,0,0
snuffle,0,0,0,0,0,0,0,0,0
recession,0,0,0,0,0,0,0,0,0
hardrive,0,0,0,0,0,0,0,0,0
bespectacled,0,0,0,0,0,0,0,0,0
stomache,0,0,0,0,0,0,0,0,0
incarcerate,0,0,0,0,0,0,0,3,0
nothing,0,2,4,2,0,0,0,0,0
billowing,0,0,0,0,0,0,0,0,0
dusky,0,0,0,0,0,0,0,1,0
ethiopia,0,0,0,0,0,0,0,0,0
notifications,1,0,1,0,0,0,0,0,0
quesadilla,0,0,0,0,0,0,0,0,0
nectat,0,0,0,0,0,0,0,0,0
vulcan,0,0,0,0,0,0,0,0,0
splangle,0,0,0,0,0,0,0,0,0
unending,0,0,0,0,0,0,0,0,0
instructed,2,0,2,1,0,0,3,0,0
caroling,0,0,0,0,0,0,0,0,0
vein,0,0,0,0,0,0,0,0,0
isthe,0,0,0,0,0,0,0,0,0
madagascar,0,0,0,0,0,0,0,0,0
coin,0,0,0,0,0,0,0,0,0
molt,0,0,0,0,0,0,0,0,0
voter,0,0,0,0,0,0,0,0,0
rocker,0,0,0,0,0,0,0,0,0
chancel,0,0,0,0,0,0,0,3,0
anything,0,0,0,0,0,0,0,0,0
inclusion,0,0,0,0,0,0,0,0,0
funds,0,0,0,0,0,0,0,0,0
airtime,0,0,0,0,0,0,0,0,0
sutton,0,0,0,0,0,0,0,0,0
absolve,2,3,0,0,0,0,0,1,0
include,0,0,0,0,0,0,0,0,0
homeland,0,0,0,0,0,0,0,0,0
decadence,0,2,0,0,0,0,0,0,0
iamhungry,3,0,2,0,0,0,0,0,2
epistemics,0,0,0,0,0,0,0,0,0
femine,0,0,0,0,0,0,0,0,0
matter,0,0,0,0,0,0,0,0,0
excused,0,3,0,0,0,0,0,0,0
potty,0,0,0,0,0,0,0,0,0
paladins,0,0,0,0,0,0,0,0,0
humanities,0,0,0,0,0,0,0,0,0
bellybutton,0,0,0,0,0,0,0,0,0
praise,0,0,0,0,0,0,0,1,0
trshcan,0,0,0,0,0,0,0,0,0
opression,2,0,0,2,0,0,0,0,0
diarreah,0,0,0,0,0,0,0,0,0
sought,0,2,0,0,0,0,0,0,0
illness,0,0,0,0,0,0,0,0,0
oath,0,1,0,0,0,0,0,0,0
sensual,0,0,3,0,0,2,0,0,3
nimble,0,0,0,0,0,0,0,0,0
aftershock,1,0,0,0,1,0,0,0,0
abatoir,0,1,0,0,2,0,0,0,0
siri,0,0,0,0,0,0,0,0,0
sir,0,0,0,0,0,0,0,0,0
mortuary,1,2,0,0,4,0,0,3,0
sclerosis,0,0,0,0,0,0,0,0,0
powerd,0,0,0,0,0,0,0,0,0
censorship,0,0,0,0,0,0,0,0,0
published,3,0,0,2,3,0,0,1,0
incest,0,0,0,0,0,0,0,0,0
gatherer,0,0,0,0,0,0,0,0,0
bonds,2,3,0,1,0,0,0,0,1
phish,0,4,0,2,0,0,2,0,0
meteorite,0,0,0,0,0,0,0,0,0
bearch,0,0,0,0,0,0,0,0,0
punch,1,0,1,0,0,0,0,0,0
sway,1,2,0,1,0,0,0,0,0
spectrum,0,0,0,0,0,0,0,0,0
outle,3,0,1,1,0,0,0,0,0
schizophrenic,0,0,0,2,0,0,0,0,0
lush,1,3,1,1,0,0,0,0,2
tahoe,0,0,0,0,0,0,0,0,0
gank,0,0,0,0,0,0,0,0,0
supersonic,0,0,0,0,0,0,0,0,0
systematic,0,0,0,0,3,0,0,0,0
causing,1,2,1,2,0,0,0,1,0
harvest,0,0,0,0,0,0,3,0,0
wednesdaymorning,0,0,0,0,0,0,0,0,0
czar,0,0,0,0,0,0,0,0,0
clumsy,2,0,0,0,0,0,0,0,0
wombat,0,0,0,0,0,0,0,0,0
washroom,1,1,0,0,0,0,0,0,0
gopher,0,0,0,0,0,0,1,0,0
colon,0,0,0,0,0,0,0,0,0
robots,0,0,0,0,0,0,0,0,0
partys,0,2,0,1,0,0,0,0,0
wrk,0,2,0,0,1,0,1,0,0
wolves,0,2,0,2,0,0,2,0,1
snickers,0,1,0,1,0,0,0,0,0
farmyard,0,0,0,0,0,0,3,0,0
introgen,0,0,0,0,0,0,0,0,0
olympics,0,0,0,0,0,0,0,0,0
vets,0,0,0,0,0,0,0,0,0
twobathrooms,0,0,0,0,0,0,0,0,0
smoldering,2,0,0,1,0,0,0,0,0
grizzlies,0,0,0,0,0,0,0,0,0
juniper,0,1,0,1,0,0,1,0,0
hispanic,0,0,0,0,0,0,0,0,0
open,0,0,3,2,0,0,3,2,0
briard,0,0,0,0,0,0,0,0,0
cogs,0,0,0,0,0,0,0,0,0
vibration,2,0,2,0,0,0,1,1,0
lifsucks,0,0,0,0,0,0,0,0,0
wingspan,0,0,0,0,0,0,0,0,0
obsorb,0,0,0,0,0,0,0,0,0
rotator,0,0,0,0,0,0,0,0,0
braille,0,0,0,0,0,0,0,0,0
beff,0,0,0,0,0,0,0,0,0
destination,0,3,0,1,0,0,2,2,0
post-it,0,0,0,0,2,2,0,0,0
nunchuck,0,0,0,0,0,0,0,0,0
prices,0,0,0,0,0,0,0,0,0
irrelevant,0,0,0,0,0,0,0,0,0
lands,0,0,0,0,0,0,2,0,0
accompanied,0,2,0,0,0,0,0,1,0
fiveguys,0,0,0,0,0,0,0,0,0
wedge,0,4,0,0,0,0,0,0,0
hula,0,0,0,0,0,0,0,0,0
turquies,0,0,0,0,0,0,0,0,0
senetor,0,0,0,0,0,0,0,0,0
roger,0,0,0,0,0,0,0,0,0
liners,0,0,0,0,0,0,0,0,0
gait,0,0,0,0,0,0,0,2,0
jones,0,0,0,0,0,0,0,0,0
rams,0,0,0,0,0,0,0,0,0
gases,0,0,0,0,0,0,0,0,0
enchantment,0,0,0,0,0,0,0,0,0
carboard,0,0,0,0,0,0,0,0,0
detroit,0,0,0,0,0,0,0,0,0
narrcism,3,0,2,2,0,0,0,0,2
barbie,0,0,0,0,0,0,0,0,0
raking,3,1,0,0,0,0,0,0,0
remotecontrol,0,0,0,0,0,0,0,1,0
yahoo,0,0,0,0,0,0,0,0,0
pillow7,0,0,0,0,0,0,0,0,0
demarcation,0,0,0,0,0,0,0,0,0
matador,0,0,0,0,0,0,0,0,0
granda,0,0,0,0,0,0,0,0,0
asstray,1,0,1,1,0,0,0,0,0
reply,2,1,2,0,0,0,0,0,0
burly,2,0,3,1,0,0,0,0,2
brewery,2,3,2,3,0,0,0,0,3
clients,0,0,0,0,2,3,0,0,0
holyland,1,0,0,0,0,0,0,1,0
americanairline,0,0,0,0,0,0,0,0,0
humphe,0,0,0,0,0,0,0,0,0
downloads,0,0,0,0,0,0,0,0,0
daniel,0,0,0,0,0,0,0,0,0
muscians,0,0,0,0,0,0,0,2,0
violate,2,4,1,3,3,2,0,3,1
emo,0,0,0,0,0,0,0,0,0
airwaterwind,1,2,0,3,0,0,2,0,3
disgrace,3,3,1,2,1,0,0,3,2
bounded,0,3,0,1,0,0,0,0,0
lester,0,0,0,0,0,0,0,0,0
winding,0,0,0,0,0,0,2,0,0
bycicle,0,0,0,0,0,0,0,0,0
huddle,0,2,0,2,0,0,0,0,0
repetitive,1,2,1,0,0,0,0,0,0
doetoyestvky,0,0,0,0,0,0,0,0,0
epitaph,0,0,0,0,0,2,0,3,0
screenn,0,0,0,0,0,0,0,2,0
seals,0,2,0,0,2,0,0,2,0
mitochondria,0,0,0,0,1,0,0,0,0
outcome,1,1,1,1,2,0,0,2,0
specialty,0,0,0,0,0,0,0,0,0
hooray,0,0,0,0,0,0,0,0,0
artful,0,0,0,0,0,0,0,0,0
seared,0,2,0,1,0,0,0,1,0
tiles,0,0,0,0,0,0,0,0,0
answers,3,3,2,2,1,0,0,2,0
torments,3,1,2,2,0,0,0,1,2
whitey,0,0,0,0,0,0,0,0,0
owala,0,0,0,0,0,0,0,0,0
shio,0,0,0,0,0,0,0,0,0
stands,0,1,0,0,0,0,3,0,0
telescope,0,0,0,0,0,0,0,0,0
spacex,0,0,0,0,0,0,0,0,0
humility,1,2,0,0,0,0,0,0,0
aghast,1,0,1,1,0,0,2,2,0
togethe,1,2,1,2,0,1,0,0,0
parenthood,0,3,0,0,3,3,0,0,2
rather,0,0,0,0,0,0,0,0,0
bloues,0,0,0,2,0,1,0,0,0
meteorites,0,0,0,0,0,0,0,0,0
loadedfries,0,0,0,0,0,0,0,0,0
handjob!,0,0,4,2,0,1,0,0,3
gesso,0,0,0,0,0,0,0,0,0
splatters,1,0,0,0,0,0,0,0,0
elaborate,0,1,0,0,0,0,0,0,0
perverted,0,3,1,1,0,0,1,0,1
cadet,0,0,0,0,0,0,0,0,0
hut,0,0,0,0,0,0,0,0,0
daughter,0,4,0,0,0,0,0,2,0
retirement,0,0,0,0,0,0,0,0,0
wa;;,0,0,0,0,0,0,0,0,0
constrict,1,0,0,0,0,0,2,0,1
diminish,0,2,1,0,0,0,0,0,0
chared,0,0,0,0,0,0,0,0,0
gotham,0,0,0,0,0,0,0,0,0
corns,0,0,0,0,0,0,0,0,0
scimitar,0,0,0,0,0,0,0,0,0
antactica,0,0,0,0,0,0,0,0,0
eventide,0,1,0,1,0,0,0,0,0
aliu,0,0,0,0,0,0,0,0,0
radiographer,0,0,0,0,0,0,0,0,0
food,3,4,1,2,2,2,0,1,1
facts,1,2,1,0,2,0,0,1,0
microfiber,0,0,0,0,0,0,0,0,0
hans,0,0,0,0,0,0,0,0,0
barely,0,0,0,0,0,0,0,0,0
saucy,0,0,1,0,0,0,1,0,1
bounce,0,0,0,0,0,0,0,0,0
shenanigans,0,0,0,0,0,0,0,0,0
negate,0,0,0,0,0,0,0,0,0
educated,0,0,0,0,0,0,0,0,0
beatitudes,0,0,0,0,0,0,0,0,0
foo,0,0,0,0,0,0,0,0,0
greenbeans,0,0,0,0,0,0,0,0,0
weariness,0,2,1,0,1,1,1,0,0
maypole,0,0,0,0,0,0,0,0,0
promotion,0,0,0,0,0,0,0,0,0
graze,0,0,0,0,0,0,0,0,0
leadership,0,2,0,1,0,0,0,0,0
echidna,0,0,0,0,0,0,0,0,0
tostada,0,0,0,0,0,0,0,0,0
punctual,0,0,0,0,0,0,0,0,0
groupwork,0,3,0,1,0,0,0,1,0
polar bear,0,0,0,0,0,0,0,0,0
sllide,0,0,0,0,0,0,0,0,0
nickname,0,0,0,0,0,0,0,0,0
radish,0,0,0,0,0,0,0,0,0
scraped,2,2,0,0,0,0,0,0,0
hermitage,1,0,1,0,1,0,1,0,0
nuclear,0,1,1,0,1,0,0,0,0
foulplay,3,4,0,3,2,0,0,3,0
jwst,0,0,0,0,0,0,0,0,0
splotches,0,2,0,0,2,0,0,1,0
garagedoor,0,0,0,0,0,0,0,0,0
born,0,0,0,0,0,0,0,0,0
heffer,0,0,0,0,0,0,1,0,0
hairstyle,0,0,0,0,0,4,0,0,0
brainy,0,0,0,0,0,0,0,0,0
contacts,1,1,1,0,1,0,0,0,0
infected,0,1,0,1,0,0,0,0,0
multi use,0,0,0,0,0,0,0,0,0
bravr,0,0,0,0,0,0,0,0,0
other,1,2,0,0,0,0,0,0,0
trashbags,0,0,0,0,0,0,0,0,0
aquavita,1,2,0,1,0,0,0,0,0
implosion,1,0,1,0,0,0,0,0,0
parquet,0,0,0,0,0,0,0,0,0
chasm,2,0,0,1,0,0,1,0,0
wisely,0,0,0,0,0,0,0,0,0
daught,0,3,0,0,0,1,0,1,0
sxelrod,0,0,0,0,0,0,0,0,0
outdoor,1,4,0,3,0,0,3,0,0
misunderstood,2,0,0,2,0,0,0,0,0
greece,0,0,0,0,0,0,0,0,0
teen,0,2,0,0,0,0,0,1,0
worldwideweb,0,0,0,0,0,0,0,0,0
pelt,0,0,0,0,0,0,0,0,0
round,0,0,0,0,0,0,0,0,0
mast,0,0,0,0,0,0,0,0,0
threat,2,1,0,1,0,0,3,0,0
chirs,0,0,0,0,0,0,0,0,0
badger,1,0,1,0,0,0,3,0,0
earch,0,0,0,0,0,0,0,0,0
lobe,0,0,0,0,0,0,0,0,0
shakespear,0,0,0,0,0,0,0,0,0
practice,0,2,0,0,0,1,0,0,0
sadge,0,0,0,0,0,0,0,0,0
possums,0,0,0,0,0,0,0,0,0
nostril,0,0,0,0,0,0,0,0,0
fishermen,0,4,0,3,0,0,0,0,0
drops,3,1,0,1,0,0,0,0,0
alligater,0,0,0,0,0,0,0,0,0
quizzes,0,0,0,0,0,0,0,0,0
liqued,0,0,0,0,0,0,0,0,0
bulls,0,0,0,0,0,0,0,0,0
suffering,3,3,1,2,0,0,0,2,2
diverge,0,3,0,0,0,0,0,0,0
ocarina,0,0,0,0,0,0,0,0,0
finding,0,4,0,0,3,0,0,2,0
importants,0,0,0,0,0,0,0,0,0
brokenhearted,2,0,0,0,2,0,0,3,0
gatherings,0,3,0,2,1,2,0,4,0
diaphram,0,0,0,0,0,0,0,0,0
voyeur,3,0,0,1,0,0,3,0,2
missiles,0,0,0,0,0,0,0,0,0
bbc,0,0,0,0,0,0,0,0,0
kelt,0,0,0,0,0,0,0,0,0
fattening,0,0,0,0,0,0,0,2,0
spencer,0,0,0,0,0,0,0,0,0
contest,0,2,0,0,0,0,0,0,0
mumble,1,0,1,0,0,0,0,0,0
peice,0,0,0,0,0,0,0,0,0
contrainer,0,0,0,0,0,0,0,0,0
coon,0,0,0,0,0,0,0,0,0
earplug,0,0,0,0,0,0,0,0,0
state,0,2,0,0,1,0,0,0,0
women,3,0,3,1,2,3,1,3,2
rope,0,4,0,0,0,0,0,0,0
ascent,0,0,0,0,0,0,0,0,0
dividing,0,3,0,0,0,0,0,0,0
persecute,0,0,0,0,0,0,0,0,0
twenty one,0,2,0,0,0,0,0,0,0
barbells,0,0,0,0,0,0,0,0,0
stripe,0,0,0,0,0,0,0,0,0
density,0,0,0,0,0,0,0,0,0
raze,0,0,0,0,0,0,0,0,0
handikershif,2,0,1,0,0,0,0,0,0
branch,0,4,0,1,0,0,1,0,0
elegy,1,2,1,2,2,2,0,3,1
convict,0,2,2,1,1,0,0,4,0
two,0,0,0,0,0,0,0,0,0
relish,3,2,0,1,0,0,0,0,0
skiing,0,0,0,0,0,0,0,0,0
charcoa,0,2,0,1,0,0,0,0,0
costarica,0,0,0,0,0,0,0,0,0
arabic,0,0,0,0,0,0,0,0,0
others,3,4,0,2,0,0,0,2,0
gravesite,0,0,0,0,0,2,0,3,0
therapeutic,0,0,0,0,0,1,0,0,0
scaping,0,0,0,0,0,0,0,0,0
desserts,0,0,0,0,0,0,0,0,0
instill,0,1,0,0,0,0,0,0,0
policeman,1,3,2,1,1,0,0,2,0
levee,0,0,0,0,0,0,0,0,0
honest,2,3,1,1,0,0,0,0,0
satisfying,2,1,0,0,0,0,0,0,0
adjustable,0,0,0,0,0,0,0,0,0
dodo,0,0,0,0,0,0,0,0,0
unrulely,0,2,0,0,0,0,0,0,0
fjord,0,0,0,0,0,0,0,0,0
up,0,0,0,0,0,0,0,0,0
laundery,0,0,0,0,0,0,0,0,0
tesco,0,0,0,0,0,0,0,0,0
aquifer,0,1,0,1,0,0,1,0,1
filth,1,2,0,0,0,0,0,1,0
birdhouse,0,1,0,0,0,0,0,0,0
raining,0,0,0,0,0,0,0,0,0
meatball,0,0,0,0,0,0,0,0,0
communications,3,3,2,2,2,0,0,3,0
katie,0,0,0,0,0,0,0,0,0
fixing,0,0,0,0,1,2,0,0,0
muggy,0,0,0,0,0,0,0,1,0
toungue,2,0,1,0,0,0,0,0,0
tom,0,0,0,0,0,0,0,0,0
headon,0,0,0,3,0,0,0,1,0
remember,1,0,1,3,2,0,2,1,0
spice,0,0,0,0,0,0,0,0,0
teleremote,0,0,0,0,0,0,0,0,0
spacing,0,0,0,0,0,0,0,0,0
wastewater,2,4,0,4,0,0,2,0,4
oddly,1,0,1,1,0,0,1,0,1
invoice,0,0,0,0,0,0,0,0,0
residence,3,0,3,2,3,3,0,0,3
repel,0,0,0,0,0,0,3,0,0
snake,0,1,0,0,0,0,1,0,0
visions,1,0,1,4,1,0,1,1,3
fascination,2,3,0,2,0,0,1,2,0
jennie,0,0,0,0,0,0,0,0,0
sea lion,0,0,0,0,0,0,0,0,0
spectator,2,2,1,3,1,1,3,3,1
wim,0,0,0,0,0,0,0,0,0
metre,0,0,0,0,2,0,0,0,0
oaks,0,3,0,1,0,0,2,0,0
induction,0,1,0,0,0,0,0,1,0
temperd,3,0,3,2,0,0,0,0,1
theramin,0,0,0,0,0,0,0,1,0
orthopedic,0,0,0,0,0,0,0,0,0
sacks,0,2,0,0,0,0,0,0,0
led,0,0,0,0,0,0,0,0,0
rhymingslang,0,0,0,0,0,0,0,0,0
frothy,0,0,0,0,0,0,0,0,0
eitness,0,0,0,0,0,0,0,0,0
observation,3,3,2,2,1,1,3,2,2
bouncing,1,0,0,0,0,0,0,0,0
emphasize,1,0,1,1,0,0,0,0,0
claims,2,3,1,0,3,0,0,1,0
